Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,SVI,COVID,Total,Footnote
11/3/2021,5/31/2020,6/6/2020,2020,23,6/6/2020,Low Vulnerability,1134,14503,
11/3/2021,5/31/2020,6/6/2020,2020,23,6/6/2020,Moderate Vulnerability,1979,23212,
11/3/2021,5/31/2020,6/6/2020,2020,23,6/6/2020,High Vulnerability,1943,21147,
11/3/2021,5/31/2020,6/6/2020,2020,23,6/6/2020,All U.S. Counties,5056,58875,
11/3/2021,6/7/2020,6/13/2020,2020,24,6/13/2020,Low Vulnerability,851,14072,
11/3/2021,6/7/2020,6/13/2020,2020,24,6/13/2020,Moderate Vulnerability,1593,22964,
11/3/2021,6/7/2020,6/13/2020,2020,24,6/13/2020,High Vulnerability,1785,20954,
11/3/2021,6/7/2020,6/13/2020,2020,24,6/13/2020,All U.S. Counties,4229,57999,
11/3/2021,6/14/2020,6/20/2020,2020,25,6/20/2020,Low Vulnerability,735,14246,
11/3/2021,6/14/2020,6/20/2020,2020,25,6/20/2020,Moderate Vulnerability,1427,22628,
11/3/2021,6/14/2020,6/20/2020,2020,25,6/20/2020,High Vulnerability,1688,21082,
11/3/2021,6/14/2020,6/20/2020,2020,25,6/20/2020,All U.S. Counties,3850,57968,
11/3/2021,6/21/2020,6/27/2020,2020,26,6/27/2020,Low Vulnerability,604,14075,
11/3/2021,6/21/2020,6/27/2020,2020,26,6/27/2020,Moderate Vulnerability,1424,23251,
11/3/2021,6/21/2020,6/27/2020,2020,26,6/27/2020,High Vulnerability,1813,21156,
11/3/2021,6/21/2020,6/27/2020,2020,26,6/27/2020,All U.S. Counties,3841,58491,
11/3/2021,6/28/2020,7/4/2020,2020,27,7/4/2020,Low Vulnerability,597,14235,
11/3/2021,6/28/2020,7/4/2020,2020,27,7/4/2020,Moderate Vulnerability,1671,23497,
11/3/2021,6/28/2020,7/4/2020,2020,27,7/4/2020,High Vulnerability,2279,22044,
11/3/2021,6/28/2020,7/4/2020,2020,27,7/4/2020,All U.S. Counties,4547,59791,
11/3/2021,7/5/2020,7/11/2020,2020,28,7/11/2020,Low Vulnerability,701,14566,
11/3/2021,7/5/2020,7/11/2020,2020,28,7/11/2020,Moderate Vulnerability,2027,23950,
11/3/2021,7/5/2020,7/11/2020,2020,28,7/11/2020,High Vulnerability,3057,23385,
11/3/2021,7/5/2020,7/11/2020,2020,28,7/11/2020,All U.S. Counties,5785,61915,
11/3/2021,7/12/2020,7/18/2020,2020,29,7/18/2020,Low Vulnerability,809,14554,
11/3/2021,7/12/2020,7/18/2020,2020,29,7/18/2020,Moderate Vulnerability,2502,24362,
11/3/2021,7/12/2020,7/18/2020,2020,29,7/18/2020,High Vulnerability,3884,24213,
11/3/2021,7/12/2020,7/18/2020,2020,29,7/18/2020,All U.S. Counties,7195,63140,
11/3/2021,7/19/2020,7/25/2020,2020,30,7/25/2020,Low Vulnerability,965,14850,
11/3/2021,7/19/2020,7/25/2020,2020,30,7/25/2020,Moderate Vulnerability,2773,24733,
11/3/2021,7/19/2020,7/25/2020,2020,30,7/25/2020,High Vulnerability,4504,24627,
11/3/2021,7/19/2020,7/25/2020,2020,30,7/25/2020,All U.S. Counties,8244,64221,
11/3/2021,7/26/2020,8/1/2020,2020,31,8/1/2020,Low Vulnerability,951,14702,
11/3/2021,7/26/2020,8/1/2020,2020,31,8/1/2020,Moderate Vulnerability,2808,24968,
11/3/2021,7/26/2020,8/1/2020,2020,31,8/1/2020,High Vulnerability,4543,24528,
11/3/2021,7/26/2020,8/1/2020,2020,31,8/1/2020,All U.S. Counties,8302,64208,
11/3/2021,8/2/2020,8/8/2020,2020,32,8/8/2020,Low Vulnerability,1007,14832,
11/3/2021,8/2/2020,8/8/2020,2020,32,8/8/2020,Moderate Vulnerability,2602,24612,
11/3/2021,8/2/2020,8/8/2020,2020,32,8/8/2020,High Vulnerability,4255,24231,
11/3/2021,8/2/2020,8/8/2020,2020,32,8/8/2020,All U.S. Counties,7864,63680,
11/3/2021,8/9/2020,8/15/2020,2020,33,8/15/2020,Low Vulnerability,921,14832,
11/3/2021,8/9/2020,8/15/2020,2020,33,8/15/2020,Moderate Vulnerability,2405,24518,
11/3/2021,8/9/2020,8/15/2020,2020,33,8/15/2020,High Vulnerability,3933,24263,
11/3/2021,8/9/2020,8/15/2020,2020,33,8/15/2020,All U.S. Counties,7259,63619,
11/3/2021,8/16/2020,8/22/2020,2020,34,8/22/2020,Low Vulnerability,847,14682,
11/3/2021,8/16/2020,8/22/2020,2020,34,8/22/2020,Moderate Vulnerability,2153,24311,
11/3/2021,8/16/2020,8/22/2020,2020,34,8/22/2020,High Vulnerability,3381,23529,
11/3/2021,8/16/2020,8/22/2020,2020,34,8/22/2020,All U.S. Counties,6381,62531,
11/3/2021,8/23/2020,8/29/2020,2020,35,8/29/2020,Low Vulnerability,831,14675,
11/3/2021,8/23/2020,8/29/2020,2020,35,8/29/2020,Moderate Vulnerability,1976,23716,
11/3/2021,8/23/2020,8/29/2020,2020,35,8/29/2020,High Vulnerability,2941,22672,
11/3/2021,8/23/2020,8/29/2020,2020,35,8/29/2020,All U.S. Counties,5748,61069,
11/3/2021,8/30/2020,9/5/2020,2020,36,9/5/2020,Low Vulnerability,783,14362,
11/3/2021,8/30/2020,9/5/2020,2020,36,9/5/2020,Moderate Vulnerability,1753,23679,
11/3/2021,8/30/2020,9/5/2020,2020,36,9/5/2020,High Vulnerability,2482,22171,
11/3/2021,8/30/2020,9/5/2020,2020,36,9/5/2020,All U.S. Counties,5018,60220,
11/3/2021,9/6/2020,9/12/2020,2020,37,9/12/2020,Low Vulnerability,779,14566,
11/3/2021,9/6/2020,9/12/2020,2020,37,9/12/2020,Moderate Vulnerability,1660,23309,
11/3/2021,9/6/2020,9/12/2020,2020,37,9/12/2020,High Vulnerability,2186,21746,
11/3/2021,9/6/2020,9/12/2020,2020,37,9/12/2020,All U.S. Counties,4625,59626,
11/3/2021,9/13/2020,9/19/2020,2020,38,9/19/2020,Low Vulnerability,725,14685,
11/3/2021,9/13/2020,9/19/2020,2020,38,9/19/2020,Moderate Vulnerability,1586,23521,
11/3/2021,9/13/2020,9/19/2020,2020,38,9/19/2020,High Vulnerability,1965,21490,
11/3/2021,9/13/2020,9/19/2020,2020,38,9/19/2020,All U.S. Counties,4276,59705,
11/3/2021,9/20/2020,9/26/2020,2020,39,9/26/2020,Low Vulnerability,767,15130,
11/3/2021,9/20/2020,9/26/2020,2020,39,9/26/2020,Moderate Vulnerability,1604,23835,
11/3/2021,9/20/2020,9/26/2020,2020,39,9/26/2020,High Vulnerability,1929,21610,
11/3/2021,9/20/2020,9/26/2020,2020,39,9/26/2020,All U.S. Counties,4300,60584,
11/3/2021,9/27/2020,10/3/2020,2020,40,10/3/2020,Low Vulnerability,955,14931,
11/3/2021,9/27/2020,10/3/2020,2020,40,10/3/2020,Moderate Vulnerability,1541,23458,
11/3/2021,9/27/2020,10/3/2020,2020,40,10/3/2020,High Vulnerability,1746,21369,
11/3/2021,9/27/2020,10/3/2020,2020,40,10/3/2020,All U.S. Counties,4242,59764,
11/3/2021,10/4/2020,10/10/2020,2020,41,10/10/2020,Low Vulnerability,1126,15565,
11/3/2021,10/4/2020,10/10/2020,2020,41,10/10/2020,Moderate Vulnerability,1786,24187,
11/3/2021,10/4/2020,10/10/2020,2020,41,10/10/2020,High Vulnerability,1906,21982,
11/3/2021,10/4/2020,10/10/2020,2020,41,10/10/2020,All U.S. Counties,4818,61743,
11/3/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,Low Vulnerability,1270,15443,
11/3/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,Moderate Vulnerability,1861,23723,
11/3/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,High Vulnerability,2068,21416,
11/3/2021,10/11/2020,10/17/2020,2020,42,10/17/2020,All U.S. Counties,5199,60596,
11/3/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,Low Vulnerability,1554,16088,
11/3/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,Moderate Vulnerability,2203,24241,
11/3/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,High Vulnerability,2237,21803,
11/3/2021,10/18/2020,10/24/2020,2020,43,10/24/2020,All U.S. Counties,5996,62145,
11/3/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,Low Vulnerability,1813,16284,
11/3/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,Moderate Vulnerability,2558,24794,
11/3/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,High Vulnerability,2653,22295,
11/3/2021,10/25/2020,10/31/2020,2020,44,10/31/2020,All U.S. Counties,7024,63380,
11/3/2021,11/1/2020,11/7/2020,2020,45,11/7/2020,Low Vulnerability,2367,17101,
11/3/2021,11/1/2020,11/7/2020,2020,45,11/7/2020,Moderate Vulnerability,3156,26466,
11/3/2021,11/1/2020,11/7/2020,2020,45,11/7/2020,High Vulnerability,3233,23938,
11/3/2021,11/1/2020,11/7/2020,2020,45,11/7/2020,All U.S. Counties,8759,67523,
11/3/2021,11/8/2020,11/14/2020,2020,46,11/14/2020,Low Vulnerability,2918,17620,
11/3/2021,11/8/2020,11/14/2020,2020,46,11/14/2020,Moderate Vulnerability,3915,26640,
11/3/2021,11/8/2020,11/14/2020,2020,46,11/14/2020,High Vulnerability,3813,24499,
11/3/2021,11/8/2020,11/14/2020,2020,46,11/14/2020,All U.S. Counties,10649,68776,
11/3/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,Low Vulnerability,3832,18541,
11/3/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,Moderate Vulnerability,5019,28133,
11/3/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,High Vulnerability,4507,24946,
11/3/2021,11/15/2020,11/21/2020,2020,47,11/21/2020,All U.S. Counties,13358,71628,
11/3/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,Low Vulnerability,4372,19176,
11/3/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,Moderate Vulnerability,5955,28588,
11/3/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,High Vulnerability,5294,25468,
11/3/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,All U.S. Counties,15622,73243,
11/3/2021,11/29/2020,12/5/2020,2020,49,12/5/2020,Low Vulnerability,4900,19476,
11/3/2021,11/29/2020,12/5/2020,2020,49,12/5/2020,Moderate Vulnerability,7215,30478,
11/3/2021,11/29/2020,12/5/2020,2020,49,12/5/2020,High Vulnerability,6444,27402,
11/3/2021,11/29/2020,12/5/2020,2020,49,12/5/2020,All U.S. Counties,18562,77370,
11/3/2021,12/6/2020,12/12/2020,2020,50,12/12/2020,Low Vulnerability,5267,20454,
11/3/2021,12/6/2020,12/12/2020,2020,50,12/12/2020,Moderate Vulnerability,8174,32089,
11/3/2021,12/6/2020,12/12/2020,2020,50,12/12/2020,High Vulnerability,7476,29393,
11/3/2021,12/6/2020,12/12/2020,2020,50,12/12/2020,All U.S. Counties,20923,81949,
11/3/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,Low Vulnerability,5357,20244,
11/3/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,Moderate Vulnerability,8671,32609,
11/3/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,High Vulnerability,8296,29997,
11/3/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,All U.S. Counties,22327,82859,
11/3/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,Low Vulnerability,5204,20188,
11/3/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,Moderate Vulnerability,9058,32971,
11/3/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,High Vulnerability,9112,31120,
11/3/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,All U.S. Counties,23377,84293,
11/3/2021,12/27/2020,1/2/2021,2020,53,1/2/2021,Low Vulnerability,5153,20292,
11/3/2021,12/27/2020,1/2/2021,2020,53,1/2/2021,Moderate Vulnerability,9554,33908,
11/3/2021,12/27/2020,1/2/2021,2020,53,1/2/2021,High Vulnerability,10149,32720,
11/3/2021,12/27/2020,1/2/2021,2020,53,1/2/2021,All U.S. Counties,24859,86936,
11/3/2021,1/3/2021,1/9/2021,2021,1,1/9/2021,Low Vulnerability,5075,19709,
11/3/2021,1/3/2021,1/9/2021,2021,1,1/9/2021,Moderate Vulnerability,9816,33882,
11/3/2021,1/3/2021,1/9/2021,2021,1,1/9/2021,High Vulnerability,11075,33382,
11/3/2021,1/3/2021,1/9/2021,2021,1,1/9/2021,All U.S. Counties,25969,86991,
11/3/2021,1/10/2021,1/16/2021,2021,2,1/16/2021,Low Vulnerability,4781,19851,
11/3/2021,1/10/2021,1/16/2021,2021,2,1/16/2021,Moderate Vulnerability,9916,34187,
11/3/2021,1/10/2021,1/16/2021,2021,2,1/16/2021,High Vulnerability,10990,33272,
11/3/2021,1/10/2021,1/16/2021,2021,2,1/16/2021,All U.S. Counties,25689,87320,
11/3/2021,1/17/2021,1/23/2021,2021,3,1/23/2021,Low Vulnerability,4419,19016,
11/3/2021,1/17/2021,1/23/2021,2021,3,1/23/2021,Moderate Vulnerability,9045,32531,
11/3/2021,1/17/2021,1/23/2021,2021,3,1/23/2021,High Vulnerability,10189,32003,
11/3/2021,1/17/2021,1/23/2021,2021,3,1/23/2021,All U.S. Counties,23656,83562,
11/3/2021,1/24/2021,1/30/2021,2021,4,1/30/2021,Low Vulnerability,3759,18331,
11/3/2021,1/24/2021,1/30/2021,2021,4,1/30/2021,Moderate Vulnerability,7820,31098,
11/3/2021,1/24/2021,1/30/2021,2021,4,1/30/2021,High Vulnerability,8709,29634,
11/3/2021,1/24/2021,1/30/2021,2021,4,1/30/2021,All U.S. Counties,20290,79075,
11/3/2021,1/31/2021,2/6/2021,2021,5,2/6/2021,Low Vulnerability,3108,18019,
11/3/2021,1/31/2021,2/6/2021,2021,5,2/6/2021,Moderate Vulnerability,6528,29873,
11/3/2021,1/31/2021,2/6/2021,2021,5,2/6/2021,High Vulnerability,7346,28431,
11/3/2021,1/31/2021,2/6/2021,2021,5,2/6/2021,All U.S. Counties,16985,76338,
11/3/2021,2/7/2021,2/13/2021,2021,6,2/13/2021,Low Vulnerability,2439,16711,
11/3/2021,2/7/2021,2/13/2021,2021,6,2/13/2021,Moderate Vulnerability,5170,28151,
11/3/2021,2/7/2021,2/13/2021,2021,6,2/13/2021,High Vulnerability,5875,26521,
11/3/2021,2/7/2021,2/13/2021,2021,6,2/13/2021,All U.S. Counties,13485,71397,
11/3/2021,2/14/2021,2/20/2021,2021,7,2/20/2021,Low Vulnerability,1964,16470,
11/3/2021,2/14/2021,2/20/2021,2021,7,2/20/2021,Moderate Vulnerability,4122,27163,
11/3/2021,2/14/2021,2/20/2021,2021,7,2/20/2021,High Vulnerability,4716,25818,
11/3/2021,2/14/2021,2/20/2021,2021,7,2/20/2021,All U.S. Counties,10803,69460,
11/3/2021,2/21/2021,2/27/2021,2021,8,2/27/2021,Low Vulnerability,1686,16153,
11/3/2021,2/21/2021,2/27/2021,2021,8,2/27/2021,Moderate Vulnerability,3295,25909,
11/3/2021,2/21/2021,2/27/2021,2021,8,2/27/2021,High Vulnerability,3653,24590,
11/3/2021,2/21/2021,2/27/2021,2021,8,2/27/2021,All U.S. Counties,8634,66663,
11/3/2021,2/28/2021,3/6/2021,2021,9,3/6/2021,Low Vulnerability,1222,15380,
11/3/2021,2/28/2021,3/6/2021,2021,9,3/6/2021,Moderate Vulnerability,2624,25199,
11/3/2021,2/28/2021,3/6/2021,2021,9,3/6/2021,High Vulnerability,2855,23026,
11/3/2021,2/28/2021,3/6/2021,2021,9,3/6/2021,All U.S. Counties,6703,63615,
11/3/2021,3/7/2021,3/13/2021,2021,10,3/13/2021,Low Vulnerability,1091,14905,
11/3/2021,3/7/2021,3/13/2021,2021,10,3/13/2021,Moderate Vulnerability,2232,24400,
11/3/2021,3/7/2021,3/13/2021,2021,10,3/13/2021,High Vulnerability,2373,22455,
11/3/2021,3/7/2021,3/13/2021,2021,10,3/13/2021,All U.S. Counties,5696,61765,
11/3/2021,3/14/2021,3/20/2021,2021,11,3/20/2021,Low Vulnerability,972,14811,
11/3/2021,3/14/2021,3/20/2021,2021,11,3/20/2021,Moderate Vulnerability,1877,23856,
11/3/2021,3/14/2021,3/20/2021,2021,11,3/20/2021,High Vulnerability,2034,21577,
11/3/2021,3/14/2021,3/20/2021,2021,11,3/20/2021,All U.S. Counties,4883,60254,
11/3/2021,3/21/2021,3/27/2021,2021,12,3/27/2021,Low Vulnerability,944,15025,
11/3/2021,3/21/2021,3/27/2021,2021,12,3/27/2021,Moderate Vulnerability,1770,24060,
11/3/2021,3/21/2021,3/27/2021,2021,12,3/27/2021,High Vulnerability,1721,21579,
11/3/2021,3/21/2021,3/27/2021,2021,12,3/27/2021,All U.S. Counties,4435,60672,
11/3/2021,3/28/2021,4/3/2021,2021,13,4/3/2021,Low Vulnerability,945,14422,
11/3/2021,3/28/2021,4/3/2021,2021,13,4/3/2021,Moderate Vulnerability,1606,23324,
11/3/2021,3/28/2021,4/3/2021,2021,13,4/3/2021,High Vulnerability,1625,20800,
